id;nombre;apellido;telefono;correo
1;ferociously;bright considering step-mother;steak huzzah;yowza lift debut
2;uniform;tinderbox;toothpick meanwhile amidst;gosh fleck
3;generally gracious inside;er;fray almost;helpfully likewise circle
4;once um gently;briefly commodity aha;what drat evince;consequently oof exaggerate
5;since frail unless;front whenever;yuck once epic;hunt gad
6;between yippee;pace likewise density;egg avalanche reporter;ugh suffocate
7;owlishly urgently;antelope instead;phew;yieldingly inasmuch measly
8;quintessential cop;oxygenate;ouch uh-huh;lest edge
9;gah;camouflage obnoxiously;barring however overproduce;utterly within failing
10;squid till;ravioli sturdy lightly;mad;cuddly
